road_id,grid_row,grid_col,road_length_m,road_class,road_name,lanes,width_m,maxspeed_kmh,lanes_source,width_source,speed_source,elevation_m,imperviousness,infiltration_mm_hr,flow_accumulation,flow_direction,twi,slope_deg
R-002,116,120,103.69,tertiary,BKC - CST Link Road,3,8.0,40,osm,estimated,estimated,1.94,0.777,2.23,25.37,32,8.363,2.3
R-003,78,19,9.75,residential,,2,6.0,30,estimated,estimated,estimated,0.39,0.792,2.08,1.86,32,6.315,4.39
R-003,79,19,9.75,residential,,2,6.0,30,estimated,estimated,estimated,0.26,0.793,2.07,1.58,32,6.391,3.85
R-004,78,19,7.16,residential,,2,6.0,30,estimated,estimated,estimated,0.39,0.792,2.08,1.86,32,6.315,4.39
R-005,78,19,22.82,tertiary,,2,8.0,40,osm,estimated,estimated,0.39,0.792,2.08,1.86,32,6.315,4.39
R-005,78,18,22.82,tertiary,,2,8.0,40,osm,estimated,estimated,-0.42,0.799,2.01,8.37,32,7.111,4.07
R-005,78,17,22.82,tertiary,,2,8.0,40,osm,estimated,estimated,-1.1,0.806,1.94,18.71,8,8.405,3.31
R-006,70,24,90.39,residential,,2,6.0,30,estimated,estimated,estimated,1.41,0.782,2.18,3.37,32,8.498,1.08
R-006,71,24,90.39,residential,,2,6.0,30,estimated,estimated,estimated,1.74,0.779,2.21,2.06,128,7.676,1.4
R-006,72,24,90.39,residential,,2,6.0,30,estimated,estimated,estimated,2.07,0.776,2.24,1.0,128,7.008,1.66
R-006,72,23,90.39,residential,,2,6.0,30,estimated,estimated,estimated,2.09,0.776,2.24,1.0,32,7.042,1.71
R-006,73,23,90.39,residential,,2,6.0,30,estimated,estimated,estimated,2.59,0.771,2.29,1.0,32,6.979,1.73
R-006,74,23,90.39,residential,,2,6.0,30,estimated,estimated,estimated,3.08,0.766,2.34,1.0,32,6.915,1.76
R-006,74,22,90.39,residential,,2,6.0,30,estimated,estimated,estimated,3.32,0.764,2.36,1.0,32,6.88,1.84
R-006,75,21,90.39,residential,,2,6.0,30,estimated,estimated,estimated,3.39,0.764,2.36,1.19,32,6.707,2.36
R-006,76,21,90.39,residential,,2,6.0,30,estimated,estimated,estimated,3.07,0.767,2.33,1.19,32,6.578,2.79
R-006,76,20,90.39,residential,,2,6.0,30,estimated,estimated,estimated,2.05,0.776,2.24,1.53,16,6.529,3.38
R-006,77,20,90.39,residential,,2,6.0,30,estimated,estimated,estimated,1.72,0.779,2.21,1.53,32,6.421,3.71
R-006,78,19,90.39,residential,,2,6.0,30,estimated,estimated,estimated,0.39,0.792,2.08,1.86,32,6.315,4.39
R-007,21,69,33.31,tertiary,,2,8.0,40,estimated,estimated,estimated,1.58,0.781,2.19,59.7,32,9.615,1.48
R-007,22,68,33.31,tertiary,,2,8.0,40,estimated,estimated,estimated,1.15,0.785,2.15,101.18,32,11.5,1.01
R-007,23,68,33.31,tertiary,,2,8.0,40,estimated,estimated,estimated,1.03,0.786,2.14,108.63,32,12.022,0.93
R-007,23,67,33.31,tertiary,,2,8.0,40,estimated,estimated,estimated,1.08,0.785,2.15,112.42,32,12.258,0.84
R-007,24,67,33.31,tertiary,,2,8.0,40,estimated,estimated,estimated,1.25,0.784,2.16,72.64,32,10.651,1.25
R-008,21,69,6.09,tertiary_link,,1,6.0,30,estimated,estimated,estimated,1.58,0.781,2.19,59.7,32,9.615,1.48
R-009,5,83,74.13,primary,Bandra Kurla Complex Road,3,14.0,50,osm,estimated,estimated,7.71,0.723,2.77,3.63,8,7.895,2.18
R-009,5,84,74.13,primary,Bandra Kurla Complex Road,3,14.0,50,osm,estimated,estimated,7.94,0.721,2.79,3.63,8,7.867,2.27
R-009,6,84,74.13,primary,Bandra Kurla Complex Road,3,14.0,50,osm,estimated,estimated,7.62,0.724,2.76,4.61,16,8.061,2.35
R-009,6,85,74.13,primary,Bandra Kurla Complex Road,3,14.0,50,osm,estimated,estimated,7.96,0.721,2.79,4.27,16,7.908,2.48
R-009,6,86,74.13,primary,Bandra Kurla Complex Road,3,14.0,50,osm,estimated,estimated,8.3,0.717,2.83,3.93,16,7.756,2.6
R-009,6,87,74.13,primary,Bandra Kurla Complex Road,3,14.0,50,osm,estimated,estimated,8.64,0.714,2.86,3.57,16,7.646,2.66
R-009,6,88,74.13,primary,Bandra Kurla Complex Road,3,14.0,50,osm,estimated,estimated,8.98,0.711,2.89,3.21,8,7.553,2.7
R-009,6,89,74.13,primary,Bandra Kurla Complex Road,3,14.0,50,osm,estimated,estimated,9.32,0.708,2.92,2.85,8,7.459,2.73
R-009,6,90,74.13,primary,Bandra Kurla Complex Road,3,14.0,50,osm,estimated,estimated,9.66,0.705,2.95,2.46,8,7.314,2.76
R-009,7,90,74.13,primary,Bandra Kurla Complex Road,3,14.0,50,osm,estimated,estimated,9.33,0.708,2.92,2.07,8,7.111,3.05
R-009,7,91,74.13,primary,Bandra Kurla Complex Road,3,14.0,50,osm,estimated,estimated,9.67,0.704,2.96,2.01,16,7.094,3.15
R-010,35,61,36.49,tertiary,,2,8.0,40,estimated,estimated,estimated,3.58,0.762,2.38,1.0,16,6.866,1.98
R-010,35,60,36.49,tertiary,,2,8.0,40,estimated,estimated,estimated,3.9,0.759,2.41,1.0,16,6.908,2.08
R-010,36,60,36.49,tertiary,,2,8.0,40,estimated,estimated,estimated,3.62,0.761,2.39,1.0,16,6.806,2.23
R-010,37,60,36.49,tertiary,,2,8.0,40,estimated,estimated,estimated,3.34,0.764,2.36,1.0,8,6.703,2.38
R-010,37,59,36.49,tertiary,,2,8.0,40,estimated,estimated,estimated,3.21,0.765,2.35,1.37,8,6.802,2.59
R-010,38,59,36.49,tertiary,,2,8.0,40,estimated,estimated,estimated,2.71,0.77,2.3,1.57,8,6.803,2.76
R-011,35,61,7.59,residential,,2,6.0,30,estimated,estimated,estimated,3.58,0.762,2.38,1.0,16,6.866,1.98
R-012,19,71,29.95,tertiary,,2,8.0,40,estimated,estimated,estimated,2.16,0.775,2.25,83.09,16,10.566,1.86
R-012,19,70,29.95,tertiary,,2,8.0,40,estimated,estimated,estimated,2.16,0.775,2.25,48.63,32,9.059,1.78
R-012,20,70,29.95,tertiary,,2,8.0,40,estimated,estimated,estimated,1.91,0.777,2.23,52.71,32,9.289,1.88
R-012,21,69,29.95,tertiary,,2,8.0,40,estimated,estimated,estimated,1.58,0.781,2.19,59.7,32,9.615,1.48
R-013,19,71,6.21,residential,,2,6.0,30,estimated,estimated,estimated,2.16,0.775,2.25,83.09,16,10.566,1.86
R-014,141,140,47.89,residential,,2,6.0,30,estimated,estimated,estimated,15.53,0.649,3.51,1.75,32,5.288,12.9
R-014,141,141,47.89,residential,,2,6.0,30,estimated,estimated,estimated,18.78,0.619,3.81,1.4,32,5.1,12.83
R-014,141,142,47.89,residential,,2,6.0,30,estimated,estimated,estimated,22.03,0.588,4.12,1.05,32,4.912,12.76
R-014,141,143,47.89,residential,,2,6.0,30,estimated,estimated,estimated,23.52,0.574,4.26,1.0,32,5.065,11.22
R-014,142,143,47.89,residential,,2,6.0,30,estimated,estimated,estimated,23.29,0.576,4.24,1.0,64,5.179,10.05
R-014,142,144,47.89,residential,,2,6.0,30,estimated,estimated,estimated,24.59,0.564,4.36,1.0,16,5.441,8.06
R-014,142,145,47.89,residential,,2,6.0,30,estimated,estimated,estimated,25.89,0.552,4.48,1.0,16,5.703,6.06
R-015,112,183,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,1.4,0.782,2.18,20.56,1,9.127,3.02
R-015,112,182,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,2.06,0.776,2.24,13.81,1,8.415,3.34
R-015,111,182,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,2.04,0.776,2.24,12.32,1,8.364,3.42
R-015,111,181,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,2.64,0.771,2.29,7.86,2,7.995,3.55
R-015,110,180,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,3.26,0.765,2.35,6.83,4,8.171,3.1
R-015,110,179,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,3.94,0.758,2.42,4.55,4,7.869,2.44
R-015,109,179,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,3.94,0.758,2.42,5.93,4,8.284,2.14
R-015,109,178,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,4.62,0.752,2.48,2.77,2,7.905,1.46
R-015,108,177,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,4.45,0.754,2.46,3.03,2,8.096,1.19
R-015,108,176,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,4.27,0.755,2.45,3.32,2,8.011,1.66
R-015,107,176,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,3.94,0.758,2.42,4.49,4,8.143,1.9
R-015,107,175,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,3.98,0.758,2.42,3.79,2,7.807,2.54
R-015,106,174,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,4.49,0.753,2.47,2.75,2,7.184,3.57
R-015,106,173,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,5.47,0.744,2.56,2.04,2,6.759,3.99
R-015,105,173,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,5.95,0.739,2.61,1.77,2,6.551,4.3
R-015,105,172,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,6.97,0.73,2.7,1.24,2,6.204,4.69
R-015,105,171,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,7.7,0.723,2.77,1.15,2,6.156,4.72
R-015,104,171,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,8.47,0.716,2.84,1.09,4,6.168,4.41
R-015,104,170,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,9.17,0.709,2.91,1.25,8,6.475,3.74
R-015,103,170,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,10.17,0.7,3.0,1.07,8,6.608,3.04
R-015,103,169,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,11.1,0.691,3.09,1.12,8,7.034,1.98
R-015,102,168,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,10.93,0.693,3.07,1.0,8,6.81,2.47
R-015,102,167,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,10.1,0.7,3.0,1.0,16,6.471,3.22
R-015,101,167,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,9.66,0.705,2.95,1.0,128,6.206,4.05
R-015,101,166,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,9.16,0.709,2.91,1.0,128,6.027,4.28
R-015,100,165,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,8.54,0.715,2.85,1.0,128,5.996,4.18
R-015,100,164,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,7.86,0.722,2.78,1.0,64,6.112,3.71
R-015,99,164,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,7.4,0.726,2.74,1.07,64,6.126,3.91
R-015,99,163,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,6.83,0.731,2.69,1.01,64,6.238,3.43
R-015,99,162,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,6.63,0.733,2.67,1.04,64,6.287,3.28
R-015,98,162,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,5.9,0.74,2.6,1.12,64,6.261,3.9
R-015,98,161,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,5.74,0.741,2.59,1.29,64,6.343,3.83
R-015,97,161,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,4.9,0.749,2.51,1.48,32,6.371,4.41
R-015,97,160,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,4.62,0.752,2.48,1.76,32,6.508,4.29
R-015,97,159,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,4.02,0.758,2.42,2.47,32,6.81,3.98
R-015,96,159,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,3.26,0.765,2.35,10.2,32,7.556,3.72
R-015,96,158,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,2.67,0.77,2.3,10.66,1,7.971,3.26
R-015,95,157,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,2.05,0.776,2.24,25.94,1,9.785,1.94
R-015,94,156,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,2.23,0.774,2.26,30.29,2,10.194,1.23
R-015,94,155,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,2.5,0.772,2.28,18.4,2,8.976,1.48
R-015,93,154,342.73,unclassified,Kanzul Iman Road,2,6.0,30,osm,estimated,estimated,2.97,0.767,2.33,4.82,2,7.424,1.79
R-016,144,186,31.71,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,7.41,0.726,2.74,1.0,1,6.987,1.82
R-016,144,187,31.71,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,7.27,0.727,2.73,1.0,1,6.767,2.44
R-016,145,187,31.71,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,7.11,0.729,2.71,1.0,16,6.414,2.79
R-016,145,188,31.71,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,6.96,0.73,2.7,1.0,4,6.172,3.54
R-016,145,189,31.71,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,6.82,0.731,2.69,1.0,4,5.93,4.3
R-017,145,189,64.09,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,6.82,0.731,2.69,1.0,4,5.93,4.3
R-017,146,189,64.09,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,6.67,0.733,2.67,1.0,4,5.947,4.05
R-017,146,190,64.09,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,5.85,0.74,2.6,2.82,4,5.936,4.95
R-017,146,191,64.09,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,4.83,0.75,2.5,5.12,2,5.953,5.96
R-017,147,192,64.09,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,2.84,0.769,2.31,25.94,2,7.278,6.58
R-017,147,193,64.09,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,1.33,0.783,2.17,28.03,2,7.837,5.73
R-017,148,194,64.09,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,-0.63,0.801,1.99,47.83,4,9.328,4.52
R-017,148,195,64.09,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,-1.89,0.813,1.87,48.41,4,9.654,3.55
R-018,145,189,9.33,residential,,2,6.0,30,estimated,estimated,estimated,6.82,0.731,2.69,1.0,4,5.93,4.3
R-018,146,189,9.33,residential,,2,6.0,30,estimated,estimated,estimated,6.67,0.733,2.67,1.0,4,5.947,4.05
R-018,146,188,9.33,residential,,2,6.0,30,estimated,estimated,estimated,6.71,0.732,2.68,1.0,4,6.068,3.5
R-019,168,70,82.88,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,6.33,0.736,2.64,1.28,32,6.484,2.34
R-019,167,71,82.88,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,6.87,0.731,2.69,1.0,16,6.807,1.62
R-019,167,72,82.88,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,7.05,0.729,2.71,1.0,16,7.098,1.27
R-019,167,73,82.88,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,7.03,0.729,2.71,1.0,16,7.115,1.24
R-019,167,74,82.88,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,7.01,0.729,2.71,1.0,2,7.132,1.22
R-019,167,75,82.88,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,6.83,0.731,2.69,1.17,2,7.264,1.2
R-019,166,76,82.88,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,6.49,0.734,2.66,1.51,4,7.529,1.22
R-019,166,77,82.88,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,6.15,0.738,2.62,1.85,4,7.834,1.13
R-019,166,78,82.88,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,6.0,0.739,2.61,2.18,4,8.035,1.04
R-020,168,70,13.21,residential,,2,6.0,30,estimated,estimated,estimated,6.33,0.736,2.64,1.28,32,6.484,2.34
R-020,169,70,13.21,residential,,2,6.0,30,estimated,estimated,estimated,6.16,0.738,2.62,1.62,64,6.676,2.43
R-021,169,55,147.7,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,3.41,0.763,2.37,1.96,4,7.574,1.46
R-021,169,56,147.7,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,3.41,0.763,2.37,1.76,4,7.342,1.67
R-021,170,56,147.7,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,3.09,0.766,2.34,2.18,4,7.402,1.86
R-021,170,57,147.7,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,3.13,0.766,2.34,1.87,4,7.107,2.1
R-021,170,58,147.7,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,3.44,0.763,2.37,1.56,4,6.749,2.45
R-021,169,59,147.7,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,3.84,0.759,2.41,1.16,2,6.453,2.26
R-021,169,60,147.7,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,3.79,0.76,2.4,10.54,2,6.445,2.41
R-021,169,61,147.7,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,2.8,0.769,2.31,56.88,2,7.645,2.37
R-021,169,62,147.7,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,1.8,0.779,2.21,103.22,16,8.845,2.33
R-021,169,63,147.7,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,1.14,0.785,2.15,133.5,16,9.599,2.36
R-021,169,64,147.7,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,1.44,0.782,2.18,119.13,16,9.115,2.57
R-021,168,65,147.7,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,0.86,0.787,2.13,144.48,16,9.578,2.38
R-021,168,66,147.7,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,0.91,0.787,2.13,150.71,16,9.664,2.68
R-021,168,67,147.7,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,2.75,0.77,2.3,93.72,16,8.247,2.86
R-021,168,68,147.7,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,4.6,0.752,2.48,36.73,32,6.83,3.03
R-021,168,69,147.7,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,5.9,0.74,2.6,1.46,32,6.101,2.92
R-021,168,70,147.7,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,6.33,0.736,2.64,1.28,32,6.484,2.34
R-022,169,55,15.66,residential,,2,6.0,30,estimated,estimated,estimated,3.41,0.763,2.37,1.96,4,7.574,1.46
R-022,170,55,15.66,residential,,2,6.0,30,estimated,estimated,estimated,3.09,0.766,2.34,2.49,4,7.686,1.65
R-022,171,55,15.66,residential,,2,6.0,30,estimated,estimated,estimated,2.91,0.768,2.32,2.81,4,7.562,2.37
R-023,153,112,86.75,trunk_link,,1,8.0,40,estimated,estimated,estimated,3.37,0.764,2.36,10.9,32,7.313,7.33
R-023,154,112,86.75,trunk_link,,1,8.0,40,estimated,estimated,estimated,4.1,0.757,2.43,8.3,32,6.884,9.25
R-023,155,111,86.75,trunk_link,,1,8.0,40,estimated,estimated,estimated,3.18,0.766,2.34,9.93,64,7.311,8.43
R-023,156,111,86.75,trunk_link,,1,8.0,40,estimated,estimated,estimated,4.29,0.755,2.45,8.58,64,7.12,9.07
R-023,156,110,86.75,trunk_link,,1,8.0,40,estimated,estimated,estimated,2.46,0.772,2.28,11.8,64,7.921,6.48
R-023,157,110,86.75,trunk_link,,1,8.0,40,estimated,estimated,estimated,3.46,0.763,2.37,9.68,128,7.706,7.13
R-023,157,109,86.75,trunk_link,,1,8.0,40,estimated,estimated,estimated,3.15,0.766,2.34,7.89,128,7.61,5.92
R-023,158,109,86.75,trunk_link,,1,8.0,40,estimated,estimated,estimated,4.05,0.757,2.43,6.34,128,7.404,6.47
R-023,158,108,86.75,trunk_link,,1,8.0,40,estimated,estimated,estimated,4.04,0.757,2.43,4.31,64,7.104,5.54
R-023,158,107,86.75,trunk_link,,1,8.0,40,estimated,estimated,estimated,4.04,0.757,2.43,2.29,64,6.805,4.6
R-023,158,106,86.75,trunk_link,,1,8.0,40,estimated,estimated,estimated,4.32,0.755,2.45,1.7,64,6.627,3.78
R-024,153,112,45.31,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,3.37,0.764,2.36,10.9,32,7.313,7.33
R-024,154,112,45.31,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,4.1,0.757,2.43,8.3,32,6.884,9.25
R-024,155,112,45.31,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,4.89,0.749,2.51,5.93,32,6.486,11.02
R-024,156,111,45.31,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,4.29,0.755,2.45,8.58,64,7.12,9.07
R-024,157,111,45.31,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,5.39,0.745,2.55,7.24,128,6.928,9.72
R-025,149,113,41.47,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,4.02,0.758,2.42,34.37,16,9.831,2.36
R-025,150,113,41.47,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,3.75,0.76,2.4,23.14,16,8.741,3.72
R-025,151,112,41.47,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,2.89,0.768,2.32,18.53,32,8.259,4.44
R-025,152,112,41.47,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,2.64,0.771,2.29,13.5,32,7.741,5.42
R-025,153,112,41.47,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,3.37,0.764,2.36,10.9,32,7.313,7.33
R-026,149,113,134.01,trunk_link,,1,8.0,40,estimated,estimated,estimated,4.02,0.758,2.42,34.37,16,9.831,2.36
R-026,150,112,134.01,trunk_link,,1,8.0,40,estimated,estimated,estimated,3.38,0.764,2.36,24.13,16,8.799,3.68
R-026,151,112,134.01,trunk_link,,1,8.0,40,estimated,estimated,estimated,2.89,0.768,2.32,18.53,32,8.259,4.44
R-026,152,112,134.01,trunk_link,,1,8.0,40,estimated,estimated,estimated,2.64,0.771,2.29,13.5,32,7.741,5.42
R-026,152,111,134.01,trunk_link,,1,8.0,40,estimated,estimated,estimated,1.9,0.778,2.22,27.78,32,8.948,4.23
R-026,153,111,134.01,trunk_link,,1,8.0,40,estimated,estimated,estimated,2.3,0.774,2.26,21.64,32,8.388,5.66
R-026,153,110,134.01,trunk_link,,1,8.0,40,estimated,estimated,estimated,1.22,0.784,2.16,32.39,32,9.464,3.99
R-026,154,110,134.01,trunk_link,,1,8.0,40,estimated,estimated,estimated,1.29,0.783,2.17,22.72,64,8.773,4.93
R-026,155,109,134.01,trunk_link,,1,8.0,40,estimated,estimated,estimated,1.37,0.782,2.18,11.04,64,8.014,4.78
R-026,156,108,134.01,trunk_link,,1,8.0,40,estimated,estimated,estimated,2.48,0.772,2.28,5.69,32,7.467,4.59
R-026,156,107,134.01,trunk_link,,1,8.0,40,estimated,estimated,estimated,2.69,0.77,2.3,1.92,32,7.121,3.83
R-026,157,107,134.01,trunk_link,,1,8.0,40,estimated,estimated,estimated,3.36,0.764,2.36,2.11,64,6.963,4.22
R-026,157,106,134.01,trunk_link,,1,8.0,40,estimated,estimated,estimated,3.48,0.763,2.37,7.83,64,7.177,3.56
R-026,157,105,134.01,trunk_link,,1,8.0,40,estimated,estimated,estimated,3.61,0.761,2.39,15.04,32,7.483,2.93
R-026,158,105,134.01,trunk_link,,1,8.0,40,estimated,estimated,estimated,4.65,0.752,2.48,1.37,32,6.47,2.99
