road_id,source,target,length_m,road_class,flood_susceptibility_score,risk_class,elevation_score,imperviousness_score,infiltration_score,flow_accumulation_score,twi_score,slope_score
R-155,12084454212,9469495781,9.2,secondary,0.5075,HIGH,0.6733,0.6343,0.6343,0.0189,0.36,0.9308
R-156,12243225438,245667542,141.67,trunk,0.5427,HIGH,0.7555,0.7086,0.7086,0.0982,0.286,0.8108
R-157,12311766936,2897024667,12.64,tertiary,0.5266,HIGH,0.6982,0.6571,0.6571,0.1531,0.2904,0.8275
R-158,12311766936,476488948,198.12,tertiary,0.4879,MODERATE,0.6482,0.6143,0.6143,0.0851,0.2941,0.8208
R-159,12313982248,13615172966,7.68,residential,0.641,HIGH,0.8782,0.8171,0.8171,0.1928,0.3931,0.8183
R-160,12313982248,13617040693,31.44,tertiary,0.6045,HIGH,0.8597,0.8,0.8,0.1304,0.3123,0.7967
R-161,12313982248,13619368472,36.88,residential,0.6465,HIGH,0.8839,0.8229,0.8229,0.2025,0.393,0.8225
R-162,12313982253,12313982254,8.92,residential,0.8477,VERY_HIGH,0.9103,0.8457,0.8457,0.8691,0.7763,0.7942
R-163,12313982253,13617040688,39.95,tertiary,0.7994,VERY_HIGH,0.8958,0.8314,0.8314,0.8128,0.6294,0.7225
R-164,12313982253,3803645219,213.14,residential,0.6655,HIGH,0.8327,0.7771,0.7771,0.5088,0.3296,0.7575
R-165,12313982254,12313982253,8.92,residential,0.8477,VERY_HIGH,0.9103,0.8457,0.8457,0.8691,0.7763,0.7942
R-166,12313982254,13617040685,16.07,tertiary,0.8843,VERY_HIGH,0.9212,0.8543,0.8543,0.9286,0.8807,0.8325
R-167,12334925193,2804520131,48.26,trunk,0.6028,HIGH,0.7842,0.7343,0.7343,0.1845,0.4334,0.87
R-168,12334925204,10265648752,1919.79,trunk,0.5969,HIGH,0.7588,0.7114,0.7114,0.3245,0.3425,0.7983
R-169,12334925204,12334925193,324.23,trunk_link,0.4716,MODERATE,0.6697,0.6314,0.6314,0.1204,0.2135,0.6058
R-170,12350301184,245666579,14.74,tertiary,0.6131,HIGH,0.8952,0.8314,0.8314,0.044,0.364,0.7967
R-171,12350391111,10294725029,8.95,tertiary,0.5129,HIGH,0.7745,0.7257,0.7257,0.0,0.1797,0.77
R-172,12350391111,12350391112,8.29,tertiary_link,0.5198,HIGH,0.7812,0.7314,0.7286,0.0062,0.1909,0.7808
R-173,12350391112,12350391111,8.29,tertiary_link,0.5198,HIGH,0.7812,0.7314,0.7286,0.0062,0.1909,0.7808
R-174,12350391112,13617092826,85.79,tertiary,0.5883,HIGH,0.8288,0.7743,0.7743,0.0734,0.3324,0.87
R-175,12350425034,245666579,7.73,residential,0.5978,HIGH,0.8852,0.8229,0.8229,0.0635,0.2999,0.7508
R-176,12350446596,12350446597,7.21,tertiary_link,0.5209,HIGH,0.7088,0.6657,0.6657,0.1382,0.292,0.7475
R-177,12350446596,13621901230,54.21,tertiary,0.5708,HIGH,0.7645,0.7143,0.7143,0.2278,0.338,0.7167
R-178,12350446597,12350446596,7.21,tertiary_link,0.5209,HIGH,0.7088,0.6657,0.6657,0.1382,0.292,0.7475
R-179,12350446597,13621901233,51.22,tertiary,0.5003,HIGH,0.6767,0.6371,0.6371,0.0489,0.3554,0.7892
R-180,12350931355,2897024749,9.82,tertiary,,UNKNOWN,,,,,,
R-181,12350931355,631507991,96.86,tertiary,,UNKNOWN,,,,,,
R-182,12350931356,12350931355,8.27,tertiary,,UNKNOWN,,,,,,
R-183,12378368422,12378368426,5.99,residential,0.1729,LOW,0.1836,0.2,0.2,0.0,0.1021,0.5083
R-184,12378368422,6490872923,67.3,residential,0.2355,LOW,0.3576,0.3543,0.3543,0.0537,0.0861,0.1633
R-185,12378368422,6490872930,25.19,residential,0.1986,LOW,0.1964,0.2114,0.2114,0.0122,0.1391,0.62
R-186,12378368426,12378368422,5.99,residential,0.1729,LOW,0.1836,0.2,0.2,0.0,0.1021,0.5083
R-187,12378368426,245667468,17.87,residential,0.1798,LOW,0.1685,0.1886,0.1886,0.0,0.1302,0.6058
R-188,12378368427,12378368426,25.09,residential,0.1987,LOW,0.1964,0.2114,0.2114,0.0122,0.1391,0.6208
R-189,12378368427,6490872930,6.18,residential,0.2287,LOW,0.2218,0.2343,0.2343,0.03,0.1759,0.6992
R-190,12406085638,10384248275,2.73,trunk,0.6098,HIGH,0.7764,0.7257,0.7257,0.3962,0.2548,0.8308
R-191,12406104882,10265662126,45.18,trunk,0.5685,HIGH,0.7973,0.7457,0.7457,0.0468,0.3189,0.9083
R-192,12406104882,10772904744,1804.27,trunk,0.5819,HIGH,0.7536,0.7057,0.7057,0.3031,0.3197,0.7558
R-193,12406104883,12406104884,28.17,trunk_link,0.5562,HIGH,0.7273,0.6829,0.6829,0.0955,0.4033,0.9217
R-194,12406104883,5911310878,221.94,trunk,0.556,HIGH,0.7224,0.6771,0.6771,0.1547,0.3605,0.895
R-195,12406104884,12406104883,28.17,trunk_link,0.5562,HIGH,0.7273,0.6829,0.6829,0.0955,0.4033,0.9217
R-196,12406104884,245667803,483.15,trunk,0.636,HIGH,0.7673,0.7171,0.7171,0.453,0.3466,0.89
R-197,12406104885,10265662124,13.21,residential,0.4981,MODERATE,0.7197,0.6771,0.6771,0.0367,0.1975,0.8017
R-198,12406104885,13618374677,76.32,residential,0.5276,HIGH,0.7236,0.68,0.68,0.0945,0.2751,0.8475
R-199,12406104885,6428382636,156.17,residential,0.6763,HIGH,0.8212,0.7657,0.7657,0.5968,0.345,0.73
R-200,12486614582,11187458034,9.33,tertiary,0.4691,MODERATE,0.7279,0.6829,0.6829,0.0,0.23,0.5
R-201,12486614582,6428811261,4.7,tertiary,0.4691,MODERATE,0.7279,0.6829,0.6829,0.0,0.23,0.5
R-202,12486614584,12486614582,7.27,tertiary,0.4691,MODERATE,0.7279,0.6829,0.6829,0.0,0.23,0.5
R-203,12756633089,10924277272,92.32,residential,0.462,MODERATE,0.7158,0.6714,0.6714,0.0,0.1309,0.6425
R-204,12756633089,10924277272,156.13,residential,0.5697,HIGH,0.8094,0.7543,0.7543,0.2602,0.1949,0.6258
R-205,12756633089,6428382636,95.51,residential,0.5296,HIGH,0.7764,0.7257,0.7257,0.0641,0.2242,0.7383
R-206,13093786757,12334925204,88.97,trunk,0.5039,HIGH,0.6864,0.6457,0.6457,0.0114,0.3204,0.9025
R-207,13398075180,13398075181,14.55,tertiary_link,0.6197,HIGH,0.8009,0.7486,0.7486,0.3895,0.2532,0.8158
R-208,13398075180,13615156514,94.7,tertiary,0.6821,HIGH,0.8342,0.7771,0.7771,0.5022,0.3929,0.8392
R-209,13398075181,13398075180,14.55,tertiary_link,0.6197,HIGH,0.8009,0.7486,0.7486,0.3895,0.2532,0.8158
R-210,13398075181,13615156517,225.3,tertiary,0.6937,HIGH,0.8327,0.7771,0.7771,0.552,0.457,0.7625
R-211,13408237102,13408237103,70.39,residential,0.2863,MODERATE,0.4718,0.4571,0.4571,0.1119,0.0637,0.0
R-212,13408237102,13408237104,42.66,residential,0.542,HIGH,0.7321,0.6886,0.6886,0.2537,0.3183,0.5608
R-213,13408237102,2244637007,132.8,residential,0.469,MODERATE,0.6567,0.62,0.62,0.1959,0.2137,0.4942
R-214,13408237103,13408237102,70.39,residential,0.2863,MODERATE,0.4718,0.4571,0.4571,0.1119,0.0637,0.0
R-215,13408237104,13408237102,42.66,residential,0.542,HIGH,0.7321,0.6886,0.6886,0.2537,0.3183,0.5608
R-216,13408237104,13408237105,47.79,residential,0.5112,HIGH,0.7009,0.66,0.66,0.1921,0.2977,0.5692
R-217,13408237104,13503191895,25.54,residential,0.5401,HIGH,0.7006,0.66,0.66,0.1709,0.3385,0.84
R-218,13408237105,13408237104,47.79,residential,0.5112,HIGH,0.7009,0.66,0.66,0.1921,0.2977,0.5692
R-219,13433910625,13433910629,61.65,residential,0.526,HIGH,0.7627,0.7143,0.7143,0.1064,0.2221,0.6883
R-220,13433910625,2804481652,96.83,trunk,0.5027,HIGH,0.7012,0.66,0.66,0.036,0.2772,0.8267
R-221,13433910628,13433910629,44.95,residential,0.5707,HIGH,0.8364,0.78,0.78,0.1737,0.215,0.6342
R-222,13433910629,13433910625,61.65,residential,0.526,HIGH,0.7627,0.7143,0.7143,0.1064,0.2221,0.6883
R-223,13433910629,13433910628,44.95,residential,0.5707,HIGH,0.8364,0.78,0.78,0.1737,0.215,0.6342
R-224,13433910629,13433910631,74.18,residential,0.6028,HIGH,0.7676,0.7171,0.7171,0.287,0.3874,0.8283
R-225,13433910631,13433910629,74.18,residential,0.6028,HIGH,0.7676,0.7171,0.7171,0.287,0.3874,0.8283
R-226,13503191895,13408237104,25.54,residential,0.5401,HIGH,0.7006,0.66,0.66,0.1709,0.3385,0.84
R-227,13503191895,13503253504,105.22,residential,0.5158,HIGH,0.7133,0.6714,0.6714,0.1029,0.2376,0.8192
R-228,13503191895,3743617940,12.31,residential,0.4944,MODERATE,0.6739,0.6343,0.6371,0.0523,0.272,0.8592
R-229,13503253504,13503191895,105.22,residential,0.5157,HIGH,0.7133,0.6714,0.6714,0.1029,0.2376,0.8183
R-230,13601073293,13619507487,103.13,residential,0.6966,HIGH,0.8842,0.8229,0.8229,0.3674,0.4634,0.8875
R-231,13601073293,2244797686,20.6,residential,0.6713,HIGH,0.8761,0.8143,0.8143,0.3157,0.4489,0.8058
R-232,13601073293,622039341,110.41,residential,0.7272,HIGH,0.8936,0.8314,0.8314,0.4864,0.5285,0.8092
R-233,13614337239,13614337241,98.86,residential,0.4453,MODERATE,0.6288,0.5971,0.5971,0.0563,0.1927,0.7042
R-234,13614337239,13614337242,79.05,residential,0.4207,MODERATE,0.6042,0.5743,0.5743,0.0205,0.1686,0.695
R-235,13614337239,245666192,132.84,residential,0.6408,HIGH,0.7833,0.7314,0.7314,0.436,0.3896,0.825
