rank,road_id,source,target,length_m,road_class,hotspot_score,hotspot_class,peak_flood_depth_m,mean_flood_depth_m,peak_combined_risk,mean_combined_risk,risk_duration,high_risk_duration,very_high_risk_duration,fraction_of_time_high_risk,first_high_risk_timestamp,first_critical_timestamp,peak_risk_timestamp,peak_flood_depth_timestamp,number_of_timestamps
51,R-766,13638081817,13638081807,38.09,tertiary,0.7156,HIGH,0.411,0.199,0.7703,0.5235,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
52,R-1011,245666801,13620657537,134.61,residential,0.7142,HIGH,0.387,0.184,0.7914,0.5594,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
53,R-628,13620657537,245666801,134.61,residential,0.7142,HIGH,0.387,0.184,0.7914,0.5594,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
54,R-1025,245666901,13626183257,111.52,residential,0.7134,HIGH,0.419,0.184,0.7577,0.5063,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
55,R-740,13626183257,245666901,111.52,residential,0.7133,HIGH,0.419,0.184,0.7577,0.5063,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
56,R-1436,6926279727,7104101070,59.41,residential,0.7128,HIGH,0.418,0.203,0.7577,0.5069,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
57,R-1438,7104101070,6926279727,59.41,residential,0.7128,HIGH,0.418,0.203,0.7577,0.5069,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
58,R-005,10055232024,13639959260,22.82,tertiary,0.7111,HIGH,0.414,0.196,0.7583,0.5097,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
59,R-080,10724781030,245666801,7.12,tertiary,0.7109,HIGH,0.386,0.192,0.7859,0.5543,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
60,R-1010,245666801,10724781030,7.12,tertiary,0.7109,HIGH,0.386,0.192,0.7859,0.5543,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
61,R-449,13618395297,13618399201,8.18,residential,0.7081,HIGH,0.378,0.186,0.7881,0.5613,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
62,R-451,13618399201,13618395297,8.18,residential,0.7081,HIGH,0.378,0.186,0.7881,0.5613,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
63,R-752,13638081805,13638081807,125.54,residential,0.7068,HIGH,0.412,0.184,0.7516,0.5046,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
64,R-756,13638081807,13638081805,125.54,residential,0.7068,HIGH,0.412,0.184,0.7516,0.5046,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
65,R-1238,4674280890,7104101070,164.64,trunk,0.7067,HIGH,0.418,0.197,0.7453,0.4945,5,3,0,0.5,T+120min,,T+90min,T+90min,6
66,R-1445,7366153523,7372035744,495.95,residential,0.7005,HIGH,0.399,0.159,0.7519,0.5127,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
67,R-1453,7372035744,7366153523,495.95,residential,0.7005,HIGH,0.399,0.159,0.7519,0.5127,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
68,R-744,13626183259,13639959261,22.54,residential,0.6993,HIGH,0.404,0.193,0.7446,0.502,6,3,0,0.5,T+120min,,T+90min,T+90min,6
69,R-836,13639959261,13626183259,22.54,residential,0.6993,HIGH,0.404,0.193,0.7446,0.502,6,3,0,0.5,T+120min,,T+90min,T+90min,6
70,R-452,13618399201,13619536860,52.8,residential,0.6989,HIGH,0.378,0.185,0.7698,0.543,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
71,R-603,13619536860,13618399201,52.8,residential,0.6989,HIGH,0.378,0.185,0.7698,0.543,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
72,R-446,13618395293,13618395297,51.09,residential,0.6977,HIGH,0.374,0.177,0.7714,0.547,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
73,R-447,13618395297,13618395293,51.09,residential,0.6977,HIGH,0.374,0.177,0.7714,0.547,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
74,R-1425,6926279716,13798210725,26.82,residential,0.6965,HIGH,0.4,0.172,0.7429,0.5031,6,3,0,0.5,T+120min,,T+90min,T+90min,6
75,R-852,13798210725,6926279716,26.82,residential,0.6965,HIGH,0.4,0.172,0.7429,0.5031,6,3,0,0.5,T+120min,,T+90min,T+90min,6
76,R-1437,7104101070,13433910625,95.51,trunk,0.6953,HIGH,0.421,0.155,0.7196,0.4672,5,3,0,0.5,T+120min,,T+90min,T+90min,6
77,R-751,13638081805,13638081806,74.6,residential,0.6931,HIGH,0.401,0.181,0.7353,0.4947,6,3,0,0.5,T+120min,,T+90min,T+90min,6
78,R-755,13638081806,13638081805,74.6,residential,0.6931,HIGH,0.401,0.181,0.7353,0.4947,6,3,0,0.5,T+120min,,T+90min,T+90min,6
79,R-1221,3803645219,12313982253,213.14,residential,0.6926,HIGH,0.395,0.155,0.7402,0.5034,6,3,0,0.5,T+120min,,T+90min,T+90min,6
80,R-164,12313982253,3803645219,213.14,residential,0.6926,HIGH,0.395,0.155,0.7402,0.5034,6,3,0,0.5,T+120min,,T+90min,T+90min,6
81,R-856,13798210735,13798210737,155.84,residential,0.6922,HIGH,0.404,0.161,0.7304,0.4882,5,3,0,0.5,T+120min,,T+90min,T+90min,6
82,R-859,13798210737,13798210735,155.84,residential,0.6922,HIGH,0.404,0.161,0.7304,0.4882,5,3,0,0.5,T+120min,,T+90min,T+90min,6
83,R-816,13638546109,13638546109,99.63,residential,0.6896,HIGH,0.379,0.181,0.7501,0.5227,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
84,R-817,13638546109,13638546109,99.63,residential,0.6896,HIGH,0.379,0.181,0.7501,0.5227,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
85,R-510,13619368460,13619368498,137.34,residential,0.6883,HIGH,0.374,0.17,0.7527,0.5283,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
86,R-527,13619368498,13619368460,137.34,residential,0.6883,HIGH,0.374,0.17,0.7527,0.5283,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
87,R-1267,5911310871,13618399201,121.31,residential,0.6867,HIGH,0.378,0.157,0.7454,0.5186,6,3,0,0.5,T+120min,,T+90min,T+90min,6
88,R-453,13618399201,5911310871,121.31,residential,0.6867,HIGH,0.378,0.157,0.7454,0.5186,6,3,0,0.5,T+120min,,T+90min,T+90min,6
89,R-1274,622039341,13601073293,110.41,residential,0.6862,HIGH,0.378,0.182,0.7445,0.5177,6,3,0,0.5,T+120min,,T+90min,T+90min,6
90,R-232,13601073293,622039341,110.41,residential,0.6862,HIGH,0.378,0.182,0.7445,0.5177,6,3,0,0.5,T+120min,,T+90min,T+90min,6
91,R-522,13619368475,13619368487,135.86,residential,0.6843,HIGH,0.374,0.173,0.7446,0.5202,6,3,0,0.5,T+120min,,T+90min,T+90min,6
92,R-526,13619368487,13619368475,135.86,residential,0.6843,HIGH,0.374,0.173,0.7446,0.5202,6,3,0,0.5,T+120min,,T+90min,T+90min,6
93,R-448,13618395297,13618395298,20.21,residential,0.6843,HIGH,0.368,0.177,0.7506,0.5296,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
94,R-450,13618395298,13618395297,20.21,residential,0.6843,HIGH,0.368,0.177,0.7506,0.5296,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
95,R-1330,6428382636,12406104885,156.17,residential,0.6838,HIGH,0.385,0.15,0.7325,0.5017,6,3,0,0.5,T+120min,,T+90min,T+90min,6
96,R-199,12406104885,6428382636,156.17,residential,0.6838,HIGH,0.385,0.15,0.7325,0.5017,6,3,0,0.5,T+120min,,T+90min,T+90min,6
97,R-264,13615156516,13398075180,222.42,tertiary,0.6825,HIGH,0.375,0.159,0.7401,0.5149,6,3,0,0.5,T+120min,,T+90min,T+90min,6
98,R-1018,245666881,13638081817,44.87,tertiary,0.6794,HIGH,0.396,0.189,0.7129,0.4751,5,3,0,0.5,T+120min,,T+90min,T+90min,6
99,R-768,13638081817,245666881,44.87,tertiary,0.6794,HIGH,0.396,0.189,0.7129,0.4751,5,3,0,0.5,T+120min,,T+90min,T+90min,6
100,R-230,13601073293,13619507487,103.13,residential,0.679,HIGH,0.377,0.178,0.731,0.5046,6,3,0,0.5,T+120min,,T+90min,T+90min,6
101,R-599,13619507487,13601073293,103.13,residential,0.679,HIGH,0.377,0.178,0.731,0.5046,6,3,0,0.5,T+120min,,T+90min,T+90min,6
102,R-373,13617483791,13619318866,100.36,residential,0.6787,HIGH,0.397,0.159,0.7105,0.4723,5,3,0,0.5,T+120min,,T+90min,T+90min,6
103,R-504,13619318866,13617483791,100.36,residential,0.6787,HIGH,0.397,0.159,0.7105,0.4723,5,3,0,0.5,T+120min,,T+90min,T+90min,6
104,R-918,2244637026,2244637067,191.26,residential,0.6786,HIGH,0.402,0.145,0.7053,0.4641,5,3,0,0.5,T+120min,,T+90min,T+90min,6
105,R-930,2244637067,2244637026,191.26,residential,0.6786,HIGH,0.402,0.145,0.7053,0.4641,5,3,0,0.5,T+120min,,T+90min,T+90min,6
106,R-1006,245666579,245666651,97.11,residential,0.6785,HIGH,0.38,0.183,0.727,0.4988,6,3,0,0.5,T+120min,,T+90min,T+90min,6
107,R-1007,245666651,245666579,97.11,residential,0.6785,HIGH,0.38,0.183,0.727,0.4988,6,3,0,0.5,T+120min,,T+90min,T+90min,6
108,R-1019,245666881,13638081818,25.11,residential,0.6776,HIGH,0.396,0.18,0.7092,0.4714,5,3,0,0.5,T+120min,,T+90min,T+90min,6
109,R-771,13638081818,245666881,25.11,residential,0.6776,HIGH,0.396,0.18,0.7092,0.4714,5,3,0,0.5,T+120min,,T+90min,T+90min,6
110,R-304,13617040687,12313982254,40.09,tertiary,0.6766,HIGH,0.366,0.173,0.7372,0.5178,6,3,0,0.5,T+120min,,T+90min,T+90min,6
111,R-210,13398075181,13615156517,225.3,tertiary,0.6762,HIGH,0.375,0.155,0.7275,0.5023,6,3,0,0.5,T+120min,,T+90min,T+90min,6
112,R-196,12406104884,245667803,483.15,trunk,0.6746,HIGH,0.384,0.128,0.7152,0.4848,6,3,0,0.5,T+120min,,T+90min,T+90min,6
113,R-932,2244637067,6554236441,210.33,tertiary,0.6703,HIGH,0.388,0.173,0.7026,0.4696,5,3,0,0.5,T+120min,,T+90min,T+90min,6
114,R-1396,6554236441,2244637067,210.33,tertiary,0.6703,HIGH,0.388,0.173,0.7025,0.4695,5,3,0,0.5,T+120min,,T+90min,T+90min,6
115,R-007,10091403656,13615172965,33.31,tertiary,0.6698,HIGH,0.349,0.172,0.7405,0.5311,6,3,0,0.5,T+120min,,T+90min,T+90min,6
116,R-168,12334925204,10265648752,1919.79,trunk,0.669,HIGH,0.386,0.126,0.702,0.4706,5,3,0,0.5,T+120min,,T+90min,T+90min,6
117,R-338,13617092835,13617092838,176.09,residential,0.669,HIGH,0.375,0.157,0.713,0.488,6,3,0,0.5,T+120min,,T+90min,T+90min,6
118,R-346,13617092838,13617092835,176.09,residential,0.669,HIGH,0.375,0.157,0.713,0.488,6,3,0,0.5,T+120min,,T+90min,T+90min,6
119,R-1501,9469523484,13616325515,32.86,tertiary,0.6684,HIGH,0.349,0.172,0.7377,0.5283,6,3,0,0.5,T+120min,,T+90min,T+90min,6
120,R-502,13619318864,13619318864,89.56,residential,0.6676,HIGH,0.388,0.164,0.6971,0.4641,5,3,0,0.5,T+120min,,T+90min,T+90min,6
121,R-503,13619318864,13619318864,89.56,residential,0.6676,HIGH,0.388,0.164,0.6971,0.4641,5,3,0,0.5,T+120min,,T+90min,T+90min,6
122,R-1194,2897024795,10279771627,346.77,primary,0.6675,HIGH,0.376,0.146,0.709,0.4834,6,3,0,0.5,T+120min,,T+90min,T+90min,6
123,R-822,13638546111,13638546111,99.61,residential,0.6667,HIGH,0.363,0.174,0.7203,0.5027,6,3,0,0.5,T+120min,,T+90min,T+90min,6
124,R-823,13638546111,13638546111,99.61,residential,0.6667,HIGH,0.363,0.174,0.7203,0.5027,6,3,0,0.5,T+120min,,T+90min,T+90min,6
125,R-341,13617092836,13617092837,176.37,residential,0.6663,HIGH,0.374,0.153,0.7086,0.4842,6,3,0,0.5,T+120min,,T+90min,T+90min,6
126,R-343,13617092837,13617092836,176.37,residential,0.6663,HIGH,0.374,0.153,0.7086,0.4842,6,3,0,0.5,T+120min,,T+90min,T+90min,6
127,R-1259,5896564331,8443532426,497.89,tertiary,0.6659,HIGH,0.385,0.153,0.6967,0.4653,5,3,0,0.5,T+120min,,T+90min,T+90min,6
128,R-1482,8443532426,5896564331,497.89,tertiary,0.6659,HIGH,0.385,0.153,0.6967,0.4653,5,3,0,0.5,T+120min,,T+90min,T+90min,6
129,R-801,13638535682,13638535685,350.21,residential,0.6652,HIGH,0.375,0.157,0.7054,0.4806,6,3,0,0.5,T+120min,,T+90min,T+90min,6
130,R-810,13638535685,13638535682,350.21,residential,0.6652,HIGH,0.375,0.157,0.7054,0.4806,6,3,0,0.5,T+120min,,T+90min,T+90min,6
131,R-1500,9469523484,13615172965,5.42,residential,0.6642,HIGH,0.347,0.172,0.7314,0.5234,6,3,0,0.5,T+120min,,T+90min,T+90min,6
132,R-275,13615172965,9469523484,5.42,residential,0.6642,HIGH,0.347,0.172,0.7314,0.5234,6,3,0,0.5,T+120min,,T+90min,T+90min,6
133,R-1318,631507993,10265837613,172.34,primary,0.6641,HIGH,0.38,0.172,0.6981,0.4699,5,3,0,0.5,T+120min,,T+90min,T+90min,6
134,R-765,13638081816,13638081817,13.27,residential,0.6633,HIGH,0.381,0.185,0.6955,0.4671,5,3,0,0.5,T+120min,,T+90min,T+90min,6
135,R-767,13638081817,13638081816,13.27,residential,0.6633,HIGH,0.381,0.185,0.6955,0.4671,5,3,0,0.5,T+120min,,T+90min,T+90min,6
136,R-121,11046194844,11046194845,19.74,residential,0.663,HIGH,0.374,0.185,0.702,0.4776,6,3,0,0.5,T+120min,,T+90min,T+90min,6
137,R-122,11046194845,11046194844,19.74,residential,0.6629,HIGH,0.374,0.185,0.7019,0.4775,6,3,0,0.5,T+120min,,T+90min,T+90min,6
138,R-517,13619368471,13620896407,93.24,residential,0.6626,HIGH,0.354,0.164,0.7211,0.5085,6,3,0,0.5,T+120min,,T+90min,T+90min,6
139,R-629,13620896407,13619368471,93.24,residential,0.6626,HIGH,0.354,0.164,0.7211,0.5085,6,3,0,0.5,T+120min,,T+90min,T+90min,6
140,R-231,13601073293,2244797686,20.6,residential,0.6608,HIGH,0.365,0.174,0.7065,0.4873,6,3,0,0.5,T+120min,,T+90min,T+90min,6
141,R-939,2244797686,13601073293,20.6,residential,0.6608,HIGH,0.365,0.174,0.7065,0.4873,6,3,0,0.5,T+120min,,T+90min,T+90min,6
142,R-170,12350301184,245666579,14.74,tertiary,0.6601,HIGH,0.375,0.183,0.6952,0.4704,5,3,0,0.5,T+120min,,T+90min,T+90min,6
143,R-381,13617550909,13617550913,21.05,residential,0.6591,HIGH,0.365,0.168,0.7032,0.484,6,3,0,0.5,T+120min,,T+90min,T+90min,6
144,R-374,13617483792,13617550909,20.4,residential,0.6591,HIGH,0.365,0.172,0.7031,0.4839,6,3,0,0.5,T+120min,,T+90min,T+90min,6
145,R-002,10044201331,13615156515,103.69,tertiary,0.6587,HIGH,0.35,0.172,0.7173,0.5075,6,3,0,0.5,T+120min,,T+90min,T+90min,6
146,R-604,13619536860,13619536866,18.21,residential,0.658,HIGH,0.37,0.182,0.696,0.474,6,3,0,0.5,T+120min,,T+90min,T+90min,6
147,R-605,13619536866,13619536860,18.21,residential,0.658,HIGH,0.37,0.182,0.696,0.474,6,3,0,0.5,T+120min,,T+90min,T+90min,6
148,R-519,13619368472,13619368475,27.84,residential,0.6574,HIGH,0.366,0.178,0.6988,0.4794,6,3,0,0.5,T+120min,,T+90min,T+90min,6
149,R-521,13619368475,13619368472,27.84,residential,0.6574,HIGH,0.366,0.178,0.6988,0.4794,6,3,0,0.5,T+120min,,T+90min,T+90min,6
150,R-260,13615156514,12243225438,121.44,tertiary,0.6522,HIGH,0.35,0.167,0.7044,0.4946,6,3,0,0.5,T+120min,,T+90min,T+90min,6
151,R-021,10265662126,10265662124,147.7,trunk,0.65,HIGH,0.354,0.147,0.696,0.4838,6,3,0,0.5,T+120min,,T+90min,T+90min,6
152,R-279,13616287392,5896564331,27.84,tertiary,0.6496,HIGH,0.372,0.182,0.6772,0.4538,5,3,0,0.5,T+120min,,T+90min,T+90min,6
153,R-003,10055232024,13616287392,9.75,residential,0.649,HIGH,0.372,0.185,0.676,0.4526,5,3,0,0.5,T+120min,,T+90min,T+90min,6
154,R-278,13616287392,10055232024,9.75,residential,0.649,HIGH,0.372,0.185,0.676,0.4526,5,3,0,0.5,T+120min,,T+90min,T+90min,6
155,R-1275,622039341,13619536866,12.47,residential,0.6477,HIGH,0.359,0.174,0.6864,0.471,6,3,0,0.5,T+120min,,T+90min,T+90min,6
156,R-607,13619536866,622039341,12.47,residential,0.6477,HIGH,0.359,0.174,0.6864,0.471,6,3,0,0.5,T+120min,,T+90min,T+90min,6
157,R-1420,6590384792,10055232024,28.08,tertiary,0.6472,HIGH,0.372,0.175,0.6723,0.4489,5,3,0,0.5,T+120min,,T+90min,T+90min,6
158,R-124,11046194845,2244797686,23.64,residential,0.6471,HIGH,0.362,0.174,0.6821,0.4649,5,3,0,0.5,T+120min,,T+90min,T+90min,6
159,R-938,2244797686,11046194845,23.64,residential,0.647,HIGH,0.362,0.174,0.6821,0.4649,5,3,0,0.5,T+120min,,T+90min,T+90min,6
160,R-161,12313982248,13619368472,36.88,residential,0.647,HIGH,0.357,0.177,0.687,0.4728,6,3,0,0.5,T+120min,,T+90min,T+90min,6
161,R-1293,622060792,9198946025,212.64,residential,0.6469,HIGH,0.372,0.129,0.6717,0.4487,5,3,0,0.5,T+120min,,T+90min,T+90min,6
162,R-1491,9198946025,622060792,212.64,residential,0.6469,HIGH,0.372,0.129,0.6717,0.4487,5,3,0,0.5,T+120min,,T+90min,T+90min,6
163,R-518,13619368472,12313982248,36.88,residential,0.6469,HIGH,0.357,0.177,0.6868,0.4726,6,3,0,0.5,T+120min,,T+90min,T+90min,6
164,R-123,11046194845,13619396529,29.14,residential,0.6465,HIGH,0.362,0.181,0.6809,0.4637,5,3,0,0.5,T+120min,,T+90min,T+90min,6
165,R-535,13619396529,11046194845,29.14,residential,0.6465,HIGH,0.362,0.181,0.6809,0.4637,5,3,0,0.5,T+120min,,T+90min,T+90min,6
166,R-1255,5470238123,10044201331,128.41,trunk,0.6462,HIGH,0.347,0.162,0.6954,0.4874,6,3,0,0.5,T+120min,,T+90min,T+90min,6
167,R-321,13617040695,9469523484,37.41,tertiary,0.6447,HIGH,0.347,0.165,0.6923,0.4843,6,3,0,0.5,T+120min,,T+90min,T+90min,6
