road_id,source,target,length_m,road_class,road_name,lanes,width_m,maxspeed_kmh,oneway,grid_cell_count,mean_elevation_m,min_elevation_m,max_elevation_m,elevation_range_m,elevation_gradient,mean_imperviousness,mean_infiltration_mm_hr,mean_flow_accumulation,max_flow_accumulation,mean_flow_direction,mean_twi,mean_slope_deg
R-011,10091403662,3193827831,7.59,residential,,2,6.0,30,False,1,3.58,3.58,3.58,0.0,0.0,0.762,2.38,1.0,1.0,16.0,6.866,1.98
R-012,10091403664,10091403656,29.95,tertiary,,2,8.0,40,True,4,1.95,1.58,2.16,0.58,0.0194,0.777,2.23,61.03,83.09,28.0,9.632,1.75
R-013,10091403664,245666192,6.21,residential,,2,6.0,30,False,1,2.16,2.16,2.16,0.0,0.0,0.775,2.25,83.09,83.09,16.0,10.566,1.86
R-014,10111287875,13618292025,47.89,residential,,2,6.0,30,False,7,21.95,15.53,25.89,10.36,0.2163,0.589,4.11,1.17,1.75,32.0,5.241,10.55
R-015,10213907200,11027088421,342.73,unclassified,Kanzul Iman Road,2,6.0,30,False,41,5.56,1.4,11.1,9.7,0.0283,0.743,2.57,5.37,30.29,24.27,7.263,3.18
R-016,10245790327,10245790331,31.71,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,True,5,7.11,6.82,7.41,0.59,0.0186,0.729,2.71,1.0,1.0,5.2,6.454,2.98
R-017,10245790331,13798210715,64.09,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,True,8,3.23,-1.89,6.82,8.71,0.1359,0.765,2.35,20.02,48.41,3.25,7.233,4.96
R-018,10245790331,13798244195,9.33,residential,,2,6.0,30,True,3,6.73,6.67,6.82,0.15,0.0161,0.732,2.68,1.0,1.0,4.0,5.982,3.95
R-019,10265662124,12406104883,82.88,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,True,9,6.64,6.0,7.05,1.05,0.0127,0.733,2.67,1.33,2.18,10.67,7.255,1.36
R-020,10265662124,12406104885,13.21,residential,,2,6.0,30,False,2,6.25,6.16,6.33,0.17,0.0129,0.737,2.63,1.45,1.62,48.0,6.58,2.38
R-021,10265662126,10265662124,147.7,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,True,17,3.1,0.86,6.33,5.47,0.037,0.766,2.34,50.71,150.71,12.82,7.716,2.36
R-022,10265662126,6428382636,15.66,residential,,2,6.0,30,False,3,3.14,2.91,3.41,0.5,0.0319,0.766,2.34,2.42,2.81,4.0,7.607,1.83
R-023,10265662174,622042581,86.75,trunk_link,,1,8.0,40,True,11,3.68,2.46,4.32,1.86,0.0214,0.761,2.39,7.43,11.8,75.64,7.255,6.73
R-024,10265662174,622042582,45.31,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,True,5,4.41,3.37,5.39,2.02,0.0446,0.754,2.46,8.19,10.9,57.6,6.946,9.28
R-025,10265662175,10265662174,41.47,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,True,5,3.33,2.64,4.02,1.38,0.0333,0.764,2.36,20.09,34.37,25.6,8.377,4.65
R-026,10265662175,12406085638,134.01,trunk_link,,1,8.0,40,True,16,2.89,1.22,4.98,3.76,0.0281,0.768,2.32,15.07,34.37,38.0,7.951,3.99
R-027,10279771623,10279771626,41.31,primary_link,,1,7.0,40,True,5,3.2,1.54,4.63,3.09,0.0748,0.765,2.35,2.22,3.95,8.0,7.431,2.14
R-028,10279771623,631507992,28.4,primary,Bandra Kurla Complex Road,3,14.0,50,True,5,2.49,1.54,3.9,2.36,0.0831,0.772,2.28,2.78,3.95,7.2,7.322,3.17
R-029,10279771626,2897024777,70.02,tertiary,Street 9,2,8.0,40,True,4,4.91,4.63,5.0,0.37,0.0053,0.749,2.51,1.05,1.19,8.0,7.583,0.77
R-030,10279771627,10279771631,54.54,primary_link,,1,7.0,40,True,6,8.89,7.13,9.7,2.57,0.0471,0.712,2.88,1.12,1.22,3.0,6.035,4.77
R-031,10279771627,245666966,35.27,primary,Bandra Kurla Complex Road,3,14.0,50,True,5,9.32,7.13,10.86,3.73,0.1058,0.708,2.92,1.07,1.19,6.0,5.979,4.97
R-032,10279771631,631507969,76.02,secondary,Street 7,2,10.0,40,True,9,8.39,7.44,9.07,1.63,0.0214,0.716,2.84,1.05,1.34,4.0,6.443,3.07
R-033,10292442915,13383144370,76.65,secondary,Street 3,2,10.0,40,True,8,11.62,11.04,12.0,0.96,0.0125,0.686,3.14,1.73,2.92,34.0,7.606,1.38
R-034,10294725029,12350425034,184.13,tertiary,Sharada Devi Road,2,8.0,40,True,23,4.2,0.78,5.74,4.96,0.0269,0.756,2.44,1.52,3.44,5.48,6.996,2.7
R-035,10294725029,13638535682,24.64,residential,,2,6.0,30,False,4,4.54,4.32,4.81,0.49,0.0199,0.753,2.47,1.0,1.0,4.75,6.465,2.81
R-036,10316548327,6428793085,65.39,residential,,2,6.0,30,False,8,7.07,6.04,9.12,3.08,0.0471,0.729,2.71,9.23,18.48,26.0,8.25,3.13
R-037,10384248274,10384248275,22.33,trunk_link,,1,8.0,40,False,5,5.04,3.78,6.02,2.24,0.1003,0.748,2.52,12.13,32.64,44.8,6.851,2.61
R-038,10384248274,2897024866,30.44,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,True,5,5.68,5.03,6.02,0.99,0.0325,0.742,2.58,1.26,1.91,76.8,6.39,3.9
R-039,10384248275,10384248274,22.33,trunk_link,,1,8.0,40,False,5,5.04,3.78,6.02,2.24,0.1003,0.748,2.52,12.13,32.64,44.8,6.851,2.61
R-040,10384248275,12406104884,257.8,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,True,31,5.64,2.38,7.63,5.25,0.0204,0.743,2.57,11.09,77.58,30.06,8.051,1.46
R-041,10564373799,10564373800,16.79,residential,,2,6.0,30,False,2,5.64,5.3,5.98,0.68,0.0405,0.742,2.58,5.19,5.68,1.5,7.755,3.56
R-042,10564373799,245667361,48.5,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,True,7,4.76,4.0,5.88,1.88,0.0388,0.751,2.49,4.22,5.74,37.29,7.454,6.37
R-043,10564373800,10564373799,16.79,residential,,2,6.0,30,False,2,5.64,5.3,5.98,0.68,0.0405,0.742,2.58,5.19,5.68,1.5,7.755,3.56
R-044,10653501374,10653501375,64.59,residential,,2,6.0,30,False,7,12.09,8.37,14.02,5.65,0.0875,0.682,3.18,1.19,1.56,20.29,5.762,6.25
R-045,10653501374,245665910,119.23,residential,M D Abasaheb Shinde Marg,2,6.0,30,False,16,3.95,2.43,8.37,5.94,0.0498,0.758,2.42,12.71,35.51,74.0,8.17,3.03
R-046,10653501374,473698890,69.48,residential,M D Abasaheb Shinde Marg,2,6.0,30,False,10,12.73,8.37,15.69,7.32,0.1054,0.676,3.24,1.25,1.77,39.2,5.966,5.56
R-047,10653501375,10653501374,64.59,residential,,2,6.0,30,False,7,12.09,8.37,14.02,5.65,0.0875,0.682,3.18,1.19,1.56,20.29,5.762,6.25
R-048,10653501375,10696472308,7.52,residential,,2,6.0,30,False,2,13.21,12.4,14.02,1.62,0.2154,0.671,3.29,1.05,1.1,3.0,5.958,4.9
R-049,10653501375,245666351,155.72,residential,,2,6.0,30,False,21,8.39,5.31,14.44,9.13,0.0586,0.716,2.84,1.34,1.99,4.29,6.817,3.76
R-050,10653501375,473698890,29.16,residential,,2,6.0,30,False,4,14.84,14.02,15.36,1.34,0.046,0.656,3.44,1.0,1.0,2.5,6.133,3.93
R-051,10696472306,13638535670,39.79,residential,,2,6.0,30,False,6,5.46,5.31,5.65,0.34,0.0085,0.744,2.56,1.54,1.69,2.0,7.947,1.51
R-052,10696472306,13638535675,29.79,residential,,2,6.0,30,False,4,5.45,4.97,6.02,1.05,0.0352,0.744,2.56,2.33,3.31,2.5,7.642,2.48
R-053,10696472306,245666367,71.59,residential,,2,6.0,30,False,10,4.59,4.05,5.31,1.26,0.0176,0.752,2.48,7.43,15.14,4.4,8.509,1.67
R-054,10696472307,10696472308,48.33,residential,,2,6.0,30,False,7,11.89,9.73,13.42,3.69,0.0764,0.684,3.16,1.19,1.51,6.0,5.916,5.64
R-055,10696472307,13638535675,33.56,residential,,2,6.0,30,False,5,8.06,6.02,9.73,3.71,0.1105,0.72,2.8,1.89,3.31,6.4,6.258,5.56
R-056,10696472307,245666323,69.45,residential,,2,6.0,30,False,10,7.95,6.91,9.73,2.82,0.0406,0.721,2.79,2.32,3.71,13.6,6.785,4.06
R-057,10696472308,10653501375,7.52,residential,,2,6.0,30,False,2,13.21,12.4,14.02,1.62,0.2154,0.671,3.29,1.05,1.1,3.0,5.958,4.9
R-058,10696472308,10696472307,48.33,residential,,2,6.0,30,False,7,11.89,9.73,13.42,3.69,0.0764,0.684,3.16,1.19,1.51,6.0,5.916,5.64
R-059,10696472308,13638535652,64.73,residential,,2,6.0,30,False,9,11.39,7.22,13.32,6.1,0.0942,0.688,3.12,1.19,1.5,16.0,5.812,6.11
R-060,10696472308,245666260,71.83,residential,,2,6.0,30,False,8,9.85,8.89,12.4,3.51,0.0489,0.703,2.97,1.2,1.52,7.38,6.586,3.09
R-061,10696472309,13638535652,3.19,residential,,2,6.0,30,False,1,7.22,7.22,7.22,0.0,0.0,0.728,2.72,1.34,1.34,128.0,6.102,5.78
R-062,10696472347,10696472356,48.98,residential,Ramakrishna Paramahansa Marg,2,6.0,30,False,7,2.68,2.01,3.47,1.46,0.0298,0.77,2.3,17.93,27.3,21.71,10.592,2.39
R-063,10696472347,13638535683,64.81,residential,Ramakrishna Paramahansa Marg,2,6.0,30,False,9,4.89,2.66,7.22,4.56,0.0704,0.749,2.51,3.66,14.77,7.56,7.21,3.57
R-064,10696472347,245666482,74.32,residential,,2,6.0,30,False,9,2.35,2.02,2.72,0.7,0.0094,0.773,2.27,23.84,34.69,3.56,12.491,1.68
R-065,10696472349,10696472350,66.34,residential,Ramakrishna Paramahansa Marg,2,6.0,30,False,6,8.0,6.82,8.66,1.84,0.0277,0.72,2.8,1.1,1.35,2.5,6.707,2.41
R-066,10696472349,13638535686,74.14,residential,,2,6.0,30,False,8,5.07,3.04,6.82,3.78,0.051,0.748,2.52,3.88,8.84,1.88,7.184,2.9
R-067,10696472349,2439333822,119.0,residential,Ramakrishna Paramahansa Marg,2,6.0,30,False,16,4.6,4.02,6.82,2.8,0.0235,0.752,2.48,4.62,8.4,15.19,8.28,1.7
R-068,10696472349,245666190,28.07,residential,,2,6.0,30,False,5,6.53,6.16,6.84,0.68,0.0242,0.734,2.66,1.35,1.88,1.2,6.618,2.93
R-069,10696472350,10696472349,66.34,residential,Ramakrishna Paramahansa Marg,2,6.0,30,False,6,8.0,6.82,8.66,1.84,0.0277,0.72,2.8,1.1,1.35,2.5,6.707,2.41
R-070,10696472350,13638535683,64.98,residential,Ramakrishna Paramahansa Marg,2,6.0,30,False,9,7.71,7.22,8.22,1.0,0.0154,0.723,2.77,1.27,1.6,4.0,6.885,2.3
R-071,10696472350,13638535685,72.75,residential,,2,6.0,30,False,11,5.98,3.21,8.22,5.01,0.0689,0.739,2.61,2.39,4.97,4.73,7.006,3.35
R-072,10696472350,245666260,30.74,residential,,2,6.0,30,False,5,8.57,8.22,8.89,0.67,0.0218,0.715,2.85,1.12,1.35,4.0,7.27,1.29
R-073,10696472351,13638535681,16.07,residential,Ramakrishna Paramahansa Marg,2,6.0,30,False,3,4.41,3.97,4.85,0.88,0.0548,0.754,2.46,1.97,2.58,3.33,7.512,1.92
R-074,10696472356,10696472347,48.98,residential,Ramakrishna Paramahansa Marg,2,6.0,30,False,7,2.68,2.01,3.47,1.46,0.0298,0.77,2.3,17.93,27.3,21.71,10.592,2.39
R-075,10696472356,13638535681,14.31,residential,Ramakrishna Paramahansa Marg,2,6.0,30,False,3,3.8,3.47,3.97,0.5,0.0349,0.76,2.4,4.38,8.32,85.67,7.525,2.63
R-076,10696472356,245666446,29.73,residential,,2,6.0,30,False,4,3.84,3.46,4.49,1.03,0.0346,0.759,2.41,5.56,8.77,33.5,7.707,2.48
R-077,10724726259,11047568171,11.43,tertiary,Sharada Devi Road,2,8.0,40,True,3,2.14,2.07,2.23,0.16,0.014,0.775,2.25,1.44,1.94,106.67,8.071,0.67
R-078,10724726259,13617040682,6.53,residential,,2,6.0,30,False,1,2.23,2.23,2.23,0.0,0.0,0.774,2.26,1.94,1.94,128.0,8.265,0.71
R-079,10724781030,13617040686,34.9,tertiary,,2,8.0,40,True,5,-0.45,-0.84,-0.19,0.65,0.0186,0.799,2.01,258.26,419.46,28.8,10.296,1.79
R-080,10724781030,245666801,7.12,tertiary,,2,8.0,40,False,2,-0.15,-0.21,-0.09,0.12,0.0169,0.796,2.04,205.44,249.92,32.0,8.994,1.77
R-081,10772904744,2804481649,69.76,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,True,0,,,,,,,,,,,,
R-082,10840042416,13619396536,18.54,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-083,10923438752,622039354,34.51,residential,,2,6.0,30,False,5,2.62,1.59,3.38,1.79,0.0519,0.771,2.29,20.19,47.52,6.8,7.926,2.79
R-084,10923690270,10923690281,153.14,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-085,10923690270,6554236451,93.08,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-086,10923690270,6554236455,37.36,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-087,10923690281,10923690270,153.14,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-088,10923690283,10923690287,29.89,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-089,10923690283,6554236429,13.34,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-090,10923690283,6554236451,112.47,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-091,10923690287,10923690283,29.89,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-092,10923690293,13617292726,6.68,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-093,10923690293,13617292729,36.91,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-094,10923690293,2244637068,48.3,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-095,10924156281,9684698224,68.54,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-096,10924277272,10924277275,31.57,residential,,2,6.0,30,False,4,3.9,2.66,4.9,2.24,0.071,0.759,2.42,3.55,8.02,1.75,7.204,2.55
R-097,10924277272,12756633089,92.32,residential,,2,6.0,30,False,11,6.38,4.9,7.5,2.6,0.0282,0.735,2.65,1.0,1.02,21.09,6.047,4.29
R-098,10924277272,12756633089,156.13,residential,,2,6.0,30,False,19,3.29,1.26,5.83,4.57,0.0293,0.764,2.36,7.42,74.73,27.05,6.559,4.49
R-099,10924277275,10924277272,31.57,residential,,2,6.0,30,False,4,3.9,2.66,4.9,2.24,0.071,0.759,2.42,3.55,8.02,1.75,7.204,2.55
R-100,10924277275,10924277275,339.19,residential,,2,6.0,30,False,37,2.69,2.0,3.17,1.17,0.0034,0.77,2.3,6.83,26.75,27.49,9.36,1.46
R-101,10924277275,10924277275,339.19,residential,,2,6.0,30,False,37,2.69,2.0,3.17,1.17,0.0034,0.77,2.3,6.83,26.75,27.49,9.36,1.46
R-102,10925931739,11046205760,18.27,residential,,2,6.0,30,False,2,4.83,4.67,4.99,0.32,0.0175,0.75,2.5,1.3,1.36,1.0,6.667,2.77
R-103,10925931739,13619485526,8.68,residential,,2,6.0,30,False,2,4.84,4.67,5.01,0.34,0.0392,0.75,2.5,1.2,1.36,1.0,6.573,2.65
R-104,10925931739,2244797686,51.06,residential,,2,6.0,30,False,7,3.15,1.52,4.67,3.15,0.0617,0.766,2.34,1.73,2.5,20.71,6.88,3.29
R-105,10925931740,13619485519,103.44,residential,,2,6.0,30,False,11,4.76,3.78,5.72,1.94,0.0188,0.751,2.49,1.77,3.2,58.64,7.02,2.46
R-106,10925931740,13619485519,10.53,residential,,2,6.0,30,False,3,4.78,4.62,5.05,0.43,0.0408,0.75,2.5,1.27,1.49,1.0,6.688,2.43
R-107,10925931740,13619485526,12.82,residential,,2,6.0,30,False,2,5.03,5.01,5.05,0.04,0.0031,0.748,2.52,1.17,1.3,1.0,6.591,2.59
R-108,10925931781,245667933,125.58,residential,Parshiwadi Road,2,6.0,30,False,16,4.28,2.47,6.05,3.58,0.0285,0.755,2.45,4.75,12.71,49.0,7.29,3.8
R-109,10925931781,245668039,8.27,secondary,Jawaharlal Nehru Road,2,10.0,40,False,2,2.3,2.13,2.47,0.34,0.0411,0.774,2.26,9.31,10.84,0.0,9.601,1.64
R-110,10925931781,4342420515,46.46,secondary,Jawaharlal Nehru Road,2,10.0,40,False,5,3.63,2.47,5.19,2.72,0.0585,0.761,2.39,4.0,7.78,1.6,7.565,4.01
R-111,10925941296,10925941300,34.66,residential,,2,6.0,30,False,6,4.03,3.63,4.67,1.04,0.03,0.757,2.43,1.38,2.06,23.0,7.015,2.07
R-112,10925941300,10925941296,34.66,residential,,2,6.0,30,False,6,4.03,3.63,4.67,1.04,0.03,0.757,2.43,1.38,2.06,23.0,7.015,2.07
R-113,10925941300,13619412997,44.77,residential,,2,6.0,30,False,6,4.32,3.63,5.35,1.72,0.0384,0.755,2.45,1.43,2.06,44.0,7.055,2.21
R-114,10925941300,13622503093,33.46,residential,,2,6.0,30,False,4,3.46,3.29,3.63,0.34,0.0102,0.762,2.38,2.46,2.71,2.0,7.927,1.86
R-115,10925943006,13619500841,47.23,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-116,10925943006,13622503093,9.08,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-117,10925943006,13622528191,15.5,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-118,11027088421,10213907200,342.73,unclassified,Kanzul Iman Road,2,6.0,30,False,41,5.56,1.4,11.1,9.7,0.0283,0.743,2.57,5.37,30.29,24.27,7.263,3.18
R-119,11027088421,2897024682,481.95,unclassified,Kanzul Iman Road,2,6.0,30,True,57,6.93,2.97,11.34,8.37,0.0174,0.73,2.7,10.13,47.32,6.63,8.489,1.77
R-120,11045926287,7404711443,269.44,residential,,2,6.0,30,False,4,8.94,8.02,9.9,1.88,0.007,0.711,2.89,1.42,2.13,96.25,7.006,2.77
R-121,11046194844,11046194845,19.74,residential,,2,6.0,30,False,4,0.32,0.18,0.59,0.41,0.0208,0.793,2.07,5.34,5.55,104.0,8.653,
R-122,11046194845,11046194844,19.74,residential,,2,6.0,30,False,4,0.32,0.18,0.59,0.41,0.0208,0.793,2.08,5.34,5.55,104.0,8.653,
R-123,11046194845,13619396529,29.14,residential,Siddharth Nagar Road,2,6.0,30,False,2,0.59,0.59,0.59,0.0,0.0,0.79,2.1,4.82,4.82,32.0,8.168,
R-124,11046194845,2244797686,23.64,residential,Siddharth Nagar Road,2,6.0,30,False,4,1.02,0.59,1.52,0.93,0.0393,0.786,2.14,3.83,4.82,32.0,7.754,3.11
R-125,11046205758,11046205759,24.89,residential,,2,6.0,30,False,4,6.0,5.47,6.31,0.84,0.0337,0.739,2.61,1.07,1.2,48.25,6.878,2.66
R-126,11046205759,11046205758,24.89,residential,,2,6.0,30,False,4,6.0,5.47,6.31,0.84,0.0337,0.739,2.61,1.07,1.2,48.25,6.878,2.66
R-127,11046205759,11046205760,20.9,residential,,2,6.0,30,False,3,5.26,4.99,5.47,0.48,0.023,0.746,2.54,1.15,1.24,1.0,6.707,2.65
R-128,11046205759,13622492455,2.71,residential,,2,6.0,30,False,1,5.47,5.47,5.47,0.0,0.0,0.744,2.56,1.2,1.2,1.0,6.769,2.66
R-129,11046205760,10925931739,18.27,residential,,2,6.0,30,False,2,4.83,4.67,4.99,0.32,0.0175,0.75,2.5,1.3,1.36,1.0,6.667,2.77
R-130,11046205760,11046205759,20.9,residential,,2,6.0,30,False,3,5.26,4.99,5.47,0.48,0.023,0.746,2.54,1.15,1.24,1.0,6.707,2.65
R-131,11046205760,13622492459,27.53,residential,,2,6.0,30,False,5,4.64,4.23,4.99,0.76,0.0276,0.752,2.48,1.38,1.66,19.4,6.649,3.07
R-132,11047568171,13617040683,46.74,tertiary,Sharada Devi Road,2,8.0,40,True,7,2.05,2.0,2.14,0.14,0.003,0.776,2.24,1.35,1.69,29.71,9.585,0.66
R-133,11047568171,13626183257,126.95,residential,,2,6.0,30,False,14,2.35,2.0,2.89,0.89,0.007,0.773,2.27,1.69,3.67,17.86,9.075,0.94
R-134,11047597219,13619318851,57.84,residential,,2,6.0,30,False,9,5.44,3.74,7.62,3.88,0.0671,0.744,2.56,1.81,2.67,2.67,6.387,5.02
R-135,11047597219,13619318852,25.35,residential,,2,6.0,30,False,4,5.49,4.93,5.82,0.89,0.0351,0.744,2.56,1.09,1.35,2.0,6.347,3.31
R-136,11047597219,13619318864,14.89,residential,,2,6.0,30,False,3,4.07,3.2,4.93,1.73,0.1162,0.757,2.43,1.76,2.08,2.0,6.493,4.24
R-137,11054614468,11054614468,200.97,residential,,2,6.0,30,False,22,6.98,6.0,8.08,2.08,0.0103,0.73,2.7,3.43,7.46,30.64,7.333,3.76
R-138,11054614468,11054614468,200.97,residential,,2,6.0,30,False,22,6.98,6.0,8.08,2.08,0.0103,0.73,2.7,3.43,7.46,30.64,7.333,3.76
R-139,11054614468,3743617940,13.33,residential,,2,6.0,30,False,2,8.0,7.99,8.0,0.01,0.0008,0.72,2.8,1.0,1.0,8.0,6.96,1.77
R-140,11054646813,11054646825,16.11,residential,,2,6.0,30,False,2,8.99,8.58,9.4,0.82,0.0509,0.711,2.89,1.0,1.01,4.0,5.873,5.04
R-141,11054646813,2244637012,57.63,residential,Sunder Nagar Road Number 2,2,6.0,30,False,7,6.21,3.59,8.58,4.99,0.0866,0.737,2.63,2.51,5.53,2.57,6.101,7.61
R-142,11054646813,622060792,14.23,residential,Sunder Nagar Road Number 2,2,6.0,30,False,3,8.53,8.05,8.96,0.91,0.0639,0.715,2.85,1.0,1.01,4.0,5.97,4.84
R-143,11054646825,11054646813,16.11,residential,,2,6.0,30,False,2,8.99,8.58,9.4,0.82,0.0509,0.711,2.89,1.0,1.01,4.0,5.873,5.04
R-144,11054646825,11054646825,107.16,residential,,2,6.0,30,False,12,10.28,8.51,11.66,3.15,0.0294,0.699,3.01,1.0,1.0,44.5,6.109,4.58
R-145,11054646825,11054646825,107.16,residential,,2,6.0,30,False,12,10.28,8.51,11.66,3.15,0.0294,0.699,3.01,1.0,1.0,44.5,6.109,4.58
R-146,11054673420,2244637056,46.64,residential,,2,6.0,30,False,0,,,,,,,,,,,,
R-147,11271580571,10091403659,6.71,primary,Bandra Kurla Complex Road,3,14.0,50,True,1,7.71,7.71,7.71,0.0,0.0,0.723,2.77,3.63,3.63,8.0,7.895,2.18
R-148,11271580571,13617067002,61.72,tertiary,,2,8.0,40,True,9,6.99,5.88,7.71,1.83,0.0297,0.73,2.7,2.8,3.99,9.78,7.199,2.72
R-149,11368130746,7404711477,113.44,residential,,2,6.0,30,False,15,6.58,6.0,7.27,1.27,0.0112,0.733,2.67,1.5,2.86,26.13,9.953,1.17
R-150,11976374939,13622308166,65.09,tertiary,,2,8.0,40,False,8,5.25,5.0,6.01,1.01,0.0155,0.746,2.54,18.98,22.42,15.5,9.347,1.74
R-151,11976374939,245666426,36.9,tertiary,Avenue 3,2,8.0,40,True,6,5.34,5.0,6.12,1.12,0.0304,0.745,2.55,13.6,18.0,3.67,8.774,1.79
R-152,12079741513,2897024615,17.64,secondary,Street 3,2,10.0,40,True,4,8.08,8.0,8.33,0.33,0.0187,0.719,2.81,16.57,20.24,8.0,9.754,1.63
R-153,12079741513,6552594957,398.69,primary,Bandra Kurla Complex Road,3,14.0,50,True,43,11.96,8.02,14.92,6.9,0.0173,0.683,3.17,7.51,52.05,32.19,7.58,2.53
R-154,12084454212,631525434,42.28,tertiary,Street 7,2,8.0,40,True,5,7.85,7.56,8.0,0.44,0.0104,0.721,2.79,1.13,1.34,26.4,7.356,1.26
R-155,12084454212,9469495781,9.2,secondary,Avenue 3: Lane 3,2,10.0,40,True,3,7.78,7.64,7.91,0.27,0.0293,0.722,2.78,1.22,1.36,5.67,7.88,0.83
R-156,12243225438,245667542,141.67,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,True,16,5.07,3.06,6.26,3.2,0.0226,0.748,2.52,2.44,8.55,11.94,7.288,2.27
R-157,12311766936,2897024667,12.64,tertiary,Street 7,2,8.0,40,True,3,6.96,6.73,7.14,0.41,0.0324,0.73,2.7,3.66,5.31,2.67,7.323,2.07
R-158,12311766936,476488948,198.12,tertiary,Avenue 3,2,8.0,40,True,22,8.61,7.14,10.28,3.14,0.0158,0.715,2.85,2.2,4.65,20.95,7.353,2.15
R-159,12313982248,13615172966,7.68,residential,,2,6.0,30,False,1,1.02,1.02,1.02,0.0,0.0,0.786,2.14,4.8,4.8,4.0,8.145,2.18
R-160,12313982248,13617040693,31.44,tertiary,,2,8.0,40,True,5,1.63,1.02,2.39,1.37,0.0436,0.78,2.2,3.11,4.8,7.2,7.498,2.44
R-161,12313982248,13619368472,36.88,residential,,2,6.0,30,False,4,0.83,0.76,1.02,0.26,0.007,0.788,2.12,5.12,5.3,7.0,8.144,2.13
R-162,12313982253,12313982254,8.92,residential,,2,6.0,30,False,2,-0.04,-0.52,0.45,0.97,0.1087,0.796,2.04,242.16,299.2,32.0,11.21,2.47
R-163,12313982253,13617040688,39.95,tertiary,,2,8.0,40,True,6,0.44,-0.52,1.84,2.36,0.0591,0.791,2.09,177.18,299.2,24.0,10.035,3.33
R-164,12313982253,3803645219,213.14,residential,,2,6.0,30,False,26,2.52,-0.52,5.81,6.33,0.0297,0.772,2.28,32.24,299.2,31.08,7.637,2.91
